"Round Number","Group","Date","Home Team","Home Result","Away Result","Away Team","Kwiatek Home","","Kwiatek Points","Filip Result","","Filip Points","Komar Result","","Komar Points","Artur Result","","Artur Points","Mati Result","","Mati Points","Plech Result","","Plech Points","Lesiu Result","","Lesiu Points","Komar jr Result","","Komar jr Points"
"","","27/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","28/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","28/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","29/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","29/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","30/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","30/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Ćwierćfinał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","02/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","02/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","03/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","03/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Półfinał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","07/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","07/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Finał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","11/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","TOTAL","","","7","","","7","","","8","","","5","","","5","","","6","","","5","","","7"
