,Round Number,Group,Date,Home Team,Home Result,Away Result,Away Team,Kwiatek Home Result,Kwiatek Away Result,Kwiatek Points,Filip Home Result,Filip Away Result,Filip Points,Komar Home Result,Komar Away Result,Komar Points,Artur Home Result,Artur Away Result,Artur Points,Mati Home Result,Mati Away Result,Mati Points,Plech Home Result,Plech Away Result,Plech Points,Lesiu Home Result,Lesiu Away Result,Lesiu Points
41,Round of 16,,27/01/2024 21:00,Group A Second Place,0,0,Group C Second Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Round of 16,,28/01/2024 18:00,Group A Winner,0,0,Third Place Group C/D/E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Round of 16,,28/01/2024 21:00,Group B Second Place,0,0,Group F Second Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Round of 16,,29/01/2024 18:00,Group B Winner,0,0,Third Place Group A/C/D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Round of 16,,29/01/2024 21:00,Group C Winner,0,0,Third Place Group A/B/F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Round of 16,,30/01/2024 18:00,Group E Winner,0,0,Group D Second Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Round of 16,,30/01/2024 21:00,Group F Winner,0,0,Group E Second Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Quarter Finals,,02/02/2024 18:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Quarter Finals,,02/02/2024 21:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Quarter Finals,,03/02/2024 18:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Quarter Finals,,03/02/2024 21:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Semi Finals,,07/02/2024 18:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Semi Finals,,07/02/2024 21:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Finals,,10/02/2024 21:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Finals,,11/02/2024 21:00,To be announced,0,0,To be announced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
